Date,Predictions
2024-11-07 11:00:00,119.75093
2024-11-07 12:00:00,116.40936
2024-11-07 13:00:00,109.63748
2024-11-07 14:00:00,103.93002
2024-11-07 15:00:00,104.86728
2024-11-07 16:00:00,108.67438
2024-11-07 17:00:00,113.31169
2024-11-07 18:00:00,117.18686
2024-11-07 19:00:00,115.32445
2024-11-07 20:00:00,115.68825
2024-11-07 21:00:00,107.3891
2024-11-07 22:00:00,92.77178
2024-11-07 23:00:00,78.27074
